Gene	importance
Trem2	0.026718657250775744
Treml1	0.023120717783144097
Uqcrc2	0.012831379150119565
Rab2a	0.009680266522556153
Dnajb5	0.007846845256424467
Slco1a4	0.007773268439887773
Cirbp	0.007753822522851704
Hspa5	0.007527972639925205
Hdac5	0.007470600445041591
Klhl23	0.007459485326125044
mt-Rnr1	0.006535515521145468
Dbp	0.006410982874434894
Rbm3	0.006050897156613473
Cdc42	0.006006489516721971
Wdr6	0.005906748390832044
Ubqln2	0.005763723677510846
Sptbn2	0.00533496876233311
Pgk1	0.005151413440448795
Hspa8	0.004959387277760506
Pdia4	0.004914747099714488
Srrm3	0.0048920899351025246
Marchf6	0.0048752156391421685
Scg2	0.0047706344070905845
Hyou1	0.004619674566304446
Mib2	0.0039056565120901363
Jade2	0.003458015537611715
Tnfrsf25	0.0034121107008711475
Map2k1	0.003408419014473285
Dgkz	0.0033995002125522082
Hmgn2	0.0033963461018042414
Prdm2	0.003392219253549055
Trim9	0.0033919513840306365
Nrp2	0.003354468238982181
Fosl2	0.0033051736242203466
Selenof	0.003303695693985062
Ywhae	0.003114207758726244
Pdha1	0.002937926353258261
Pdia6	0.002876294959733167
Sprn	0.0028702192204024314
Paqr8	0.002852189146731276
H3f3b	0.0027412719983313416
mt-Nd2	0.002738061512934861
Mtdh	0.002724125639811515
Actr3b	0.0027228368364769647
Cdkn1a	0.002647049373412895
Ppp6r1	0.0026364672630370843
Hsph1	0.002634242084899638
mt-Nd3	0.002620274028441715
Xbp1	0.0026066784491634454
Vcp	0.002603960825765547
Necap1	0.002592307619614975
Itfg1	0.0025887547646215314
Mid1	0.002586722797272335
Tspan3	0.002576013004634961
Akap5	0.002508246679566126
Dcp2	0.0025004748242899717
5031439G07Rik	0.0024961506729540067
Sptbn4	0.002433285883592548
Pdia3	0.0024328246756694758
Fam163b	0.0024147238346221285
Manf	0.002367873850869552
Mllt11	0.002346913184323339
Cnbp	0.002335823661177347
Ndn	0.0023352170151037174
Ywhaq	0.002332458843802952
Srpk1	0.002331755220959028
Eif4b	0.0023276050051076816
Ptprb	0.0023244004915778556
Cntn2	0.0022839702492916656
Homer1	0.002258646356265015
Eid1	0.002232511811063783
Xpo1	0.002219355804220237
Gad2	0.002197356263586543
Cdc42se2	0.0021792521155953246
Htra1	0.002169750457041957
Vdac2	0.002169620707050927
Hspa1b	0.002126473329929476
Tpt1	0.002113613134949251
Ran	0.002093178679888251
Klf6	0.0020906564831049963
Lcn2	0.002073258354709603
Dcaf7	0.0020721026936748625
Kmt2a	0.002038409853738133
Bicd2	0.0020173586515660684
Sumo2	0.0020162522702421534
Ppp2r2b	0.0020146888011976717
Kcnj10	0.002012264787523161
Gpt2	0.002008873365163949
Per3	0.002001190540819619
Itm2a	0.001999407952952621
Slitrk1	0.0019983207513347336
Slc25a12	0.0019838091578512607
Ptprn	0.001967357738069498
Slc25a25	0.0019541722000438666
Sparc	0.001942887204423845
Vbp1	0.0019420065509233714
Ywhab	0.0019406622765146108
Parp1	0.0018978069209438502
Gas6	0.00188509095331708
Kcnj13	0.001876797932897564
Usp2	0.0018384480781570237
Appbp2	0.001833578589631344
Rnf11	0.0018313442100454595
Setd7	0.0018299349906443821
Flywch1	0.0017980579930963081
Rab10	0.0017946479572699117
mt-Rnr2	0.0017905050024995576
Atp6v1g2	0.0017767360705268798
Rap2b	0.0017681037372923411
Pdcd4	0.0017440211999969917
Zfp46	0.0017327130823964715
Dnaja4	0.001719054455485543
Dst	0.0017184390866000004
Slc39a6	0.0017164374095621207
Mfap3l	0.001714293639202046
Ncan	0.0017076902698676428
Ncdn	0.0016935191027291712
Wipf3	0.0016638421158758363
Atp5mc3	0.0016569044466805763
Chgb	0.001648542442609264
Zfr2	0.0016473090026454232
Slc5a3	0.0016419580659560494
Sbk1	0.001640990840682476
Lancl2	0.0016396993247547466
Cdr1os	0.001626434425981666
1500004A13Rik	0.0016008938300577566
Rsrp1	0.00159999775427696
Rasd2	0.0015918374851137478
Magee1	0.0015740080013698842
Psmd1	0.001569859628066357
Akt2	0.0015676153301964987
Fam107a	0.001562819229388833
Atp5f1a	0.001533754455209467
Cx3cl1	0.0015323366915827087
Cacnb4	0.0015201634292550431
Ilrun	0.0015131353070041607
Taok2	0.0015123712539753037
Ccdc85b	0.001481607881202775
Mpv17l	0.0014741731941118733
Hnrnpul2	0.001454662655091281
Actg1	0.0014489189778520233
Usp22	0.001445718395015483
Adgrl3	0.0014435107848986264
Reep1	0.0014390260105380318
Man1b1	0.0014342600556439683
Unc5d	0.0014195174664133501
Kcnf1	0.0014175987264391393
Rassf3	0.0014170166088334196
Slc31a1	0.0014047191547201343
Tubb5	0.001403632049492607
Mir9-2hg	0.0013810181245558256
Pde4a	0.0013800286097075893
Epas1	0.0013743557689415984
Pgam1	0.0013662531745885823
Eif4h	0.001363361991436325
Prepl	0.0013397905896755497
Pcsk2	0.0013348194659637365
Ddx1	0.0013318527052298462
Gm12940	0.0013253775814468414
Ipo13	0.0013250949966989733
Rufy3	0.0013219605002674228
Pcp4	0.0013188820707224257
Wnk1	0.0013187920247756503
Mafg	0.0013074480019944572
Ubfd1	0.0012954570225721155
Malat1	0.0012900946953350414
Hmgb1	0.0012732558875140545
Slc4a4	0.001272931118982843
Vps29	0.001260160672352054
Chordc1	0.0012587912814614472
Ptpn23	0.0012488342746997
Rgs14	0.0012482961077797253
Kcnh1	0.001247608991605602
Frmd6	0.0012411331097491704
Slc12a5	0.0012377269309594343
Stx12	0.0012319526708417599
Mtmr4	0.0012319026154000352
Adora1	0.0012301695183806127
Ier5	0.0012219918613397877
Zmynd8	0.0012194127166788287
Rasgef1a	0.001216345929038489
mt-Nd4l	0.0012157668180392844
Hs3st2	0.0012147753152195225
Septin4	0.0012138399461251732
B4galt6	0.0012104904864590185
Pcbp3	0.0012049681583551062
Scg3	0.001204721967179817
Egr2	0.001201131402710287
Apod	0.0011996991405485123
Naa60	0.0011946079416411
Galnt16	0.0011888474353200635
Fxyd6	0.0011822380592801597
Ywhah	0.001182143086777932
Srrm2	0.0011759009570538605
R3hdm1	0.001173247844243604
Ppp4r2	0.001164064783679431
Dnajb2	0.0011629496247011159
Jph1	0.001157301024041905
Gnas	0.0011571143144028244
Avp	0.0011557447523338504
Tnpo1	0.0011556205548532335
Galnt9	0.0011553386583594658
Trib2	0.0011528135946138043
Pcmt1	0.001152385003672564
Ttc14	0.0011505912097708661
Prpf8	0.0011464533722941083
Ppp1cc	0.0011412089834727317
Apba1	0.001139058406594944
mt-Nd5	0.001137162944883626
Clip2	0.0011309459937522061
Csmd3	0.0011283799937168142
Vcam1	0.0011185892766437085
Slc24a2	0.0011073543413462742
Cert1	0.001096325479279481
Sec23a	0.0010929503458745862
Firre	0.0010648840787309676
Arhgef9	0.0010628323075121337
Anxa11	0.0010602072319775562
Uqcrfs1	0.001059159282485206
Dynlrb1	0.0010587354227102632
Dlgap1	0.0010557694868155274
Btg2	0.0010556804553925733
Ptpre	0.0010554459878629693
Arfgef3	0.0010551308465264224
Plcb1	0.0010534517555482548
Xrn1	0.0010507278287422018
2900040C04Rik	0.0010456067769897557
Scn2b	0.001039099023428608
Elmod1	0.001025392898934283
Cpsf7	0.001020968713000253
Mfn1	0.0010199897944493106
Ptpra	0.0010183444178420479
Nme1	0.0010154275692030824
Pogk	0.0010147286629460053
Rai14	0.0010114266873127767
Kif21b	0.0010069033700293706
Etnk1	0.0010059847134065063
Pcsk1n	0.0010053629453652994
Gm42860	0.0009973977390906421
Kif1c	0.0009972507451028701
Trib1	0.0009971225137330579
Lrrc7	0.0009913910179192085
Slc12a2	0.0009909042608112818
Nudcd3	0.0009872760128125865
Xrn2	0.0009869556015505345
Neat1	0.0009830847701446435
Abcb1a	0.0009820583315323845
Or4k5	0.0009716420334239986
Cd47	0.0009681823494204185
Cds1	0.0009676197360805371
Ddx3x	0.0009632667864050831
Ptn	0.000961932798264373
Rnf10	0.0009613748071070177
Cacna2d1	0.0009601324787775747
Mpc2	0.0009599274054558432
Tnk2	0.0009594775209748751
Cpne2	0.0009589631143414758
Elavl1	0.0009553378560978906
Rpl23	0.0009536476395069309
mt-Nd6	0.0009476499088484096
Tmem151b	0.0009469945372304122
Cabp7	0.0009422948013207738
Adamts1	0.0009398482997219875
Sart3	0.0009382386071623505
Hnrnpa3	0.000936014995009633
Gcc2	0.0009350902562125481
Kcnd2	0.0009305229440591985
Oxt	0.0009295879628751505
Pcdh7	0.0009267453655815157
Socs7	0.0009215194620618918
Kdm7a	0.0009186516857923034
Ehmt1	0.0009139759165188127
Cplx1	0.0009133549742810047
Med25	0.0009088370086504413
Ptges3	0.00090786038428866
Vkorc1l1	0.0009005981737021558
Camk2b	0.0008996448534721324
Dtna	0.0008993338267949669
Cep290	0.0008973790380564366
Tubb2b	0.000893125293036217
Zbtb16	0.0008927249796621462
Cab39l	0.0008918735042905592
Serpina3n	0.0008902392102926074
Pmm1	0.0008894826680672269
Arfgap1	0.0008843288302069539
Napg	0.0008828483695800346
Adgrl2	0.0008824430935343589
Adgrb3	0.000880770775980506
Jade1	0.0008804540873645257
Cdc40	0.0008763645442643111
Meg3	0.0008758380971899191
Per1	0.0008754673503945129
Zfta	0.0008748656893971372
mt-Nd4	0.0008688908392151712
Stip1	0.0008658983687095251
Diras1	0.0008619756630857843
Atp5pb	0.0008618543468791997
Lrrc4c	0.0008599274494051456
Hpcal4	0.000859875098939311
Atp6v0d1	0.0008588645184391296
Bsg	0.0008581814947810599
Slc25a4	0.0008578930571573332
Tbc1d9	0.0008547193802153857
Rnft2	0.0008505840315725575
Tmtc1	0.000850369722206064
Eml2	0.0008461953780271558
Dhx36	0.0008452818694085574
Ptgds	0.0008452500574341169
Scn2a	0.0008424497616124648
Ireb2	0.0008420593368237347
Synj2	0.0008406693537855789
Clasp2	0.0008371529161684602
Prickle1	0.0008366936623728946
Dclk3	0.0008345294949307214
Fbxl19	0.0008342787334900904
Kbtbd11	0.0008257859723158213
Calm3	0.0008252377610517687
Supt20	0.0008245373361761859
Mgat5	0.0008244127508690189
Ube2l3	0.0008229066584040345
Syn1	0.0008224972100533059
Kcnh3	0.0008218019060385379
Rab6a	0.0008209864699555136
Chd3	0.0008203248952489108
U2af2	0.0008198825729496598
Fmnl1	0.0008104013236713742
Zfp318	0.0008072435121098412
Cox4i1	0.0008034568370807167
Slco1c1	0.0008021319615107902
Ash1l	0.0008011612008626303
Nr4a3	0.0008006079264024225
Sec62	0.0007948914008087993
Tm9sf3	0.0007948564097101785
Plxdc1	0.000794671736301772
Ctbp2	0.0007938384536249148
Etv1	0.0007926115831264326
Ctdsp2	0.000789189158961619
Dnaja1	0.000788669459431287
Jak1	0.0007823546536906137
Map3k2	0.0007768392821626591
Bcl2l2	0.000773967899927536
Efnb2	0.0007720414946770542
Ypel2	0.0007671982207427392
Egr1	0.0007650711959455113
Crim1	0.0007646106218709377
Ppp1r16b	0.0007636164139383566
Map1b	0.0007620163493783452
Aldoa	0.0007593182357064683
Gm49325	0.0007553786680878276
Fbxo34	0.0007535547090250568
1110004F10Rik	0.0007532954235834212
Gpm6b	0.000751288251491785
Tnks1bp1	0.0007492680201675697
Map1s	0.0007489216572086572
Ak4	0.0007487761799054851
Zzz3	0.0007444650392274956
Gm3716	0.0007433513240543535
Bex3	0.0007433363856687647
Hif1a	0.0007427835701088578
Rps11	0.0007426047342013728
Mat2b	0.0007409064189858926
Rai1	0.000739926448047143
Aco2	0.0007384431530163598
Panx2	0.0007375231246002346
Zfp365	0.0007359061476334638
Igf2	0.0007358592650243229
Opa1	0.0007345774171808177
Gm28036	0.0007326283058967615
Wasf1	0.000732132556221798
Dgke	0.0007314201060255811
Mta3	0.000728753304840998
Gabra3	0.0007278736482804184
Rapgef4	0.000727303517771825
Baiap2	0.0007254305404983791
Sdcbp	0.0007250685081057349
Plec	0.0007225102585190098
Asah1	0.0007208216619981328
Ptprj	0.0007177296380727753
Sucla2	0.0007175139753761272
Enpp2	0.0007169270289048493
Fam117b	0.000716589203019026
Nr3c2	0.0007156893529576909
Cpsf1	0.000714721651205972
Ogdh	0.000709225588233592
Pcnp	0.0007082584559543093
Rgs7	0.0007081129366409205
Lars2	0.0007062827371866455
Plxnd1	0.0007030211041166003
Gdf1	0.0006996619445211501
Mfhas1	0.0006990508811038332
Atp5if1	0.0006867849767430628
Ubb	0.0006813103438406041
Abcd2	0.0006781607505377073
Parm1	0.0006760008467126002
Prkcd	0.0006735947408444301
Jpt1	0.0006721950799295271
Tle5	0.0006685385583699788
Gsk3b	0.000663145240477074
Bcl11b	0.0006621925779534474
Phactr1	0.000661974456522403
Desi1	0.0006608032596829289
Bex2	0.0006593223413516235
Anks1b	0.0006590922591081683
Xpr1	0.0006590656975396536
Gucy1b1	0.0006588464198723921
Xiap	0.0006524659374400306
Hba-a2	0.0006523772171891275
Htr2c	0.00065203254194119
Dio2	0.0006476927777912881
Taok1	0.0006472182102514062
Gprc5b	0.0006460741236368384
Sec63	0.0006439370120693545
Ywhaz	0.0006434337223485212
Nckap1	0.0006421284046926731
Cyria	0.0006367205707683447
S1pr1	0.000635575837893903
Gm37375	0.0006354143355749391
Nyap1	0.000634825879670425
Cotl1	0.0006344609355763136
Uba1	0.0006341883375064895
Scube1	0.0006341404979892189
Nptx1	0.0006324299875667895
Mgst3	0.000631976079292228
Ptprn2	0.0006316987259395634
Dctn1	0.0006306557337559822
Gria4	0.0006297027582963016
Amigo1	0.0006296827090059885
Ubn2	0.0006296779531580996
Slc3a2	0.0006289618787619143
Sacs	0.0006288443328614364
Vwa5b2	0.0006287102107878628
Dpp10	0.0006276823660226198
Actb	0.0006269944948939644
Rims4	0.0006265516991092862
Tcea1	0.0006239984767420377
Chp1	0.0006228141312844042
Cd34	0.0006208875298926019
Coro6	0.0006190617934581398
Cnksr2	0.0006159301127082039
Ddi2	0.0006154969031742754
Gm43305	0.0006146982454333424
Gpr22	0.000612527512436975
Cga	0.0006124591708348055
Thra	0.0006114578943274622
AI593442	0.0006105770932451602
Calb2	0.0006096433018376353
Snrnp200	0.000606530385908369
Rgs7bp	0.0006062292391310425
Fam168b	0.0006057867585207796
Pgbd5	0.0006048252101276451
Lrp8	0.0006047285258665681
Elk4	0.0006022876266904874
Trnp1	0.0006022431329054351
Dctn2	0.0006009029404397141
Pitpnm2	0.000599517228138826
Syt17	0.0005952862887524045
Ankrd11	0.0005926751863066641
Cfap36	0.0005922317904400769
Tmem191	0.0005904833947887445
Myrf	0.0005828973046805579
Odc1	0.0005818928992797839
Brsk2	0.0005809748520885452
Dync1h1	0.0005809503820541267
Ankhd1	0.0005807044550714045
Nalcn	0.0005776519048670169
Tspan7	0.0005771435156448342
Ints3	0.0005740756521536168
Trpm3	0.0005739556973749795
Rab7	0.0005731456584461102
Pea15a	0.0005661061166931077
Stard4	0.0005652490478250179
Erbin	0.0005632354318174724
Lrp6	0.0005627576666423335
Mir6240	0.0005609472751250963
Rbm39	0.000559279470227473
Pcsk1	0.0005551872688254243
Map1a	0.0005533755669272292
Slc24a3	0.0005520493904001757
Guf1	0.0005512445298523394
Tnxb	0.0005512401132701886
Glce	0.0005507766328071248
Sod2	0.0005492900948258091
Atp1b2	0.0005481728502361047
Slc25a23	0.0005462712813620073
Flot2	0.0005459184144138841
Gm48275	0.000541987248370227
Shroom2	0.0005407203768232678
Gabarapl2	0.0005398192206189269
Pde1b	0.0005397354481297727
Col8a1	0.0005387019688807508
Tmem44	0.00053670898994659
Ppp3cb	0.0005342932494635282
Azi2	0.0005341608673535914
Gm20300	0.0005333682030485155
Brsk1	0.0005327182035054515
Kcnh4	0.0005322343393206481
Klhl3	0.0005306465402661772
Foxo3	0.000529208216040401
Srgap2	0.0005287658313671807
Chmp3	0.000527011512086139
Sv2b	0.0005268751605936252
Vps37a	0.000526800728355775
Limk2	0.0005266617669359178
Nudt4	0.0005252943980622552
Smc5	0.0005241137091622816
Ccpg1	0.0005227377523624198
Tomm40l	0.0005220596318993941
Atp6v1a	0.0005216174010909361
Mtrex	0.0005211174723243933
Timp3	0.0005167622814009562
Kpna3	0.0005149440776175718
Itpr1	0.0005122315833324029
Ndrg2	0.0005119416941539742
Fbxl18	0.0005109649906405032
Arhgap33	0.0005100588445368246
Gpr162	0.0005080060645840556
Gramd4	0.0005058249733716039
Stx6	0.0005044034232367539
Jakmip1	0.0005014881542722196
Daam1	0.00050056749498775
Bc1	0.0004999199404884763
Scn4b	0.0004989201073720409
Tax1bp1	0.0004984362549879301
Homer3	0.0004978711964456225
Rhobtb2	0.0004965338269961605
Mmd	0.0004955831050023207
Nr4a1	0.0004930835271580894
Eloc	0.0004929993299106716
Scamp1	0.0004928393788786295
Atxn2	0.000491171658986175
B4galnt4	0.0004910870105590925
Olfml2b	0.00048921933412693
Camk2a	0.0004891612216160655
Slc25a5	0.0004876995646689928
Hars1	0.0004872372731011473
Gga3	0.0004870897224429594
Bsn	0.0004825877432260411
Aff3	0.00048024948306103657
Rictor	0.00047774778111362646
Shank2	0.00047679776778945267
Mdh2	0.00047497972815107
Ttf1	0.000474385214147346
Arhgef3	0.00047364486295787856
Slc2a1	0.0004734371193261561
Peg10	0.00047063756304197154
Gabrb3	0.0004700647260260953
Tdrd7	0.0004698335459967387
Cldn2	0.000469562805045072
Fat4	0.0004691134299115524
Dctn4	0.00046766417189586464
Smarca1	0.0004676066815813362
Uggt2	0.0004674566427962372
Dok6	0.00046657828605539686
Mbp	0.00046648906487351785
Pygo1	0.0004664351192848602
Dscam	0.00046632178992374426
Prmt8	0.0004650833955688325
Nap1l3	0.00046500779772406137
Gfra2	0.00046324350879292967
Megf9	0.0004627286937241791
Cnih2	0.0004600075476195205
Srsf5	0.0004596740297949844
Tshz2	0.0004588929246028236
Ubr4	0.0004582355042182279
Ppp2ca	0.0004577508698198356
Phc3	0.00045772836176964703
Hras	0.0004577239447225251
Rtn3	0.00045724639787390496
Hs6st1	0.0004570271355717718
Miat	0.00045551924473493115
Unc13a	0.0004548379345274091
Erdr1y	0.00045449326132438096
Sez6l	0.00045229958011912903
Btf3	0.00045165152605346567
Pbxip1	0.0004490354636808832
